127.0.0.1 - - [16/May/2020:08:55:34 +0300] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [16/May/2020:08:55:36 +0300] "GET /Asiakkaat/asiakkaat/* HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [16/May/2020:08:55:37 +0300] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [16/May/2020:08:55:38 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [16/May/2020:08:55:57 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [16/May/2020:08:55:57 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2020:08:55:57 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [16/May/2020:08:56:02 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 2952
0:0:0:0:0:0:0:1 - - [16/May/2020:08:56:02 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [16/May/2020:08:56:03 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [16/May/2020:08:56:03 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [16/May/2020:08:56:08 +0300] "GET /Asiakkaat/asiakkaat/virt HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [16/May/2020:08:56:15 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [16/May/2020:08:56:16 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 2952
0:0:0:0:0:0:0:1 - - [16/May/2020:08:56:42 +0300] "POST /Asiakkaat/asiakkaat HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [16/May/2020:08:56:44 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [16/May/2020:08:56:45 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [16/May/2020:08:56:48 +0300] "GET /Asiakkaat/muutaasiakas.jsp?asiakas_id=19 HTTP/1.1" 200 3985
0:0:0:0:0:0:0:1 - - [16/May/2020:08:56:49 +0300] "GET /Asiakkaat/asiakkaat/haeyksi/19 HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [16/May/2020:08:56:58 +0300] "PUT /Asiakkaat/asiakkaat HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [16/May/2020:08:57:00 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [16/May/2020:08:57:00 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [16/May/2020:08:57:03 +0300] "DELETE /Asiakkaat/asiakkaat/19 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [16/May/2020:08:57:03 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [16/May/2020:09:04:43 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 2952
0:0:0:0:0:0:0:1 - - [16/May/2020:09:05:01 +0300] "POST /Asiakkaat/asiakkaat HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [16/May/2020:09:05:02 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [16/May/2020:09:05:02 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [16/May/2020:09:05:06 +0300] "DELETE /Asiakkaat/asiakkaat/20 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [16/May/2020:09:05:06 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 334
